YEAR,COUNTY_ID,COUNTY_NAME,DISTRICT_ID,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,SUBGROUP,FOUR_YR_GRAD_RATE,FOUR_YR_ADJ_COHORT_COUNT,GRADUATED_COUNT
2015,1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,White,85.94,128,110
2015,1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,Black,68.15,157,107
2015,1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,Hispanic,62.5,192,120
2015,1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,Asian,88.89,99,88
2015,1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,American Indian,-,-,-
2015,1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,Native Hawaiian,-,-,-
2015,1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,Two or More Races,-,-,-
2015,1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,Limited English Proficiency,70.83,48,34
2015,1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,Economically Disadvantaged,71.11,405,288
2015,1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,Students with Disability,64.91,114,74
2015,1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,Schoolwide,73.71,582,429
2015,1,ATLANTIC,110,ATLANTIC CITY,999,Districtwide Total,White,85.94,128,110
2015,1,ATLANTIC,110,ATLANTIC CITY,999,Districtwide Total,Black,68.15,157,107
2015,1,ATLANTIC,110,ATLANTIC CITY,999,Districtwide Total,Hispanic,62.5,192,120
2015,1,ATLANTIC,110,ATLANTIC CITY,999,Districtwide Total,Asian,88.89,99,88
2015,1,ATLANTIC,110,ATLANTIC CITY,999,Districtwide Total,American Indian,-,-,-
2015,1,ATLANTIC,110,ATLANTIC CITY,999,Districtwide Total,Native Hawaiian,-,-,-
2015,1,ATLANTIC,110,ATLANTIC CITY,999,Districtwide Total,Two or More Races,-,-,-
2015,1,ATLANTIC,110,ATLANTIC CITY,999,Districtwide Total,Limited English Proficiency,70.83,48,34
