Population,Zipcode
22121.0,01832
8295.0,01833
6675.0,01834
13527.0,01835
4547.0,01840
47676.0,01841
24597.0,01843
47690.0,01844
28677.0,01845
15496.0,01850
29791.0,01851
33106.0,01852
29073.0,01854
6440.0,01860
10992.0,01862
9526.0,01863
15076.0,01864
24524.0,01867
28778.0,01876
11675.0,01879
25116.0,01880
22458.0,01886
22656.0,01887
21621.0,01890
2023.0,01901
44827.0,01902
18803.0,01904
25090.0,01905
27051.0,01906
14086.0,01907
3432.0,01908
16429.0,01913
40026.0,01915
8040.0,01921
3025.0,01922
26810.0,01923
3546.0,01929
29043.0,01930
89.0,01937
13354.0,01938
12299.0,01940
5185.0,01944
19958.0,01945
9131.0,01949
17569.0,01950
3707.0,01951
8396.0,01952
51319.0,01960
7040.0,01966
5914.0,01969
41747.0,01970
7995.0,01982
6211.0,01983
4964.0,01984
4305.0,01985
16438.0,02019
21781.0,02021
7935.0,02025
24906.0,02026
5677.0,02030
3884.0,02032
16990.0,02035
32064.0,02038
22330.0,02043
10319.0,02045
111.0,02047
23293.0,02048
25647.0,02050
12136.0,02052
12866.0,02053
7950.0,02054
11274.0,02056
10560.0,02061
28698.0,02062
17730.0,02066
17591.0,02067
1770.0,02071
27522.0,02072
19006.0,02081
14714.0,02090
11058.0,02093
4062.0,02108
4241.0,02109
1752.0,02110
7771.0,02111
6843.0,02113
11994.0,02114
28928.0,02115
21793.0,02116
27873.0,02118
24767.0,02119
14221.0,02120
27093.0,02121
24546.0,02122
51382.0,02124
34172.0,02125
27984.0,02126
33825.0,02127
43575.0,02128
17454.0,02129
37541.0,02130
30960.0,02131
27628.0,02132
19009.0,02134
36932.0,02135
29271.0,02136
35554.0,02138
36015.0,02139
18164.0,02140
13126.0,02141
2838.0,02142
26056.0,02143
23854.0,02144
24659.0,02145
59819.0,02148
42076.0,02149
36222.0,02150
52534.0,02151
17763.0,02152
58832.0,02155
2100.0,02163
55064.0,02169
19796.0,02170
17735.0,02171
27239.0,02176
21498.0,02180
36051.0,02184
27094.0,02186
14655.0,02188
14609.0,02189
16733.0,02190
8369.0,02191
1273.0,02199
0.0,02203
1894.0,02210
24213.0,02215
58982.0,02301
34929.0,02302
4400.0,02322
26573.0,02324
11493.0,02330
15126.0,02332
13894.0,02333
7546.0,02338
14027.0,02339
10250.0,02341
10667.0,02343
23247.0,02346
10798.0,02347
16009.0,02351
12625.0,02356
959.0,02357
17916.0,02359
56816.0,02360
12673.0,02364
149.0,02366
2834.0,02367
32952.0,02368
17546.0,02370
9833.0,02375
6928.0,02379
14567.0,02382
14073.0,02420
17813.0,02421
20844.0,02445
28924.0,02446
17299.0,02451
15025.0,02452
28997.0,02453
1343.0,02457
11602.0,02458
18339.0,02459
9046.0,02460
6808.0,02461
1412.0,02462
