2015,2016,2017,year_2018,MHI,City,Country,County,District_Name,Latitude,Level,Longitude,School_Name,State,Street,Zip
88.89,91.67,87.8,88.1,125738,Belmar,US,Monmouth County,WALL TWP,40.174209,School,-74.090419,Academy Charter High School,NJ,Allenwood Rd,7719
88.89,91.67,87.8,88.1,82500,Belmar,US,Monmouth County,Academy Charter High School,40.170858,School,-74.02766,Academy Charter High School,NJ,Main St,7719
66.04,73.12,71.05,82.98,57857,Asbury Park,US,Monmouth County,ASBURY PARK CITY,40.22026,School,-74.012216,Asbury Park High School,NJ,Main St,7712
73.71,76.14,80.54,81.11,37672,Atlantic City,US,Atlantic County,ATLANTIC CITY,39.364398,School,-74.422904,Atlantic City High School,NJ,Atlantic Ave,8401
98.08,99.04,98.74,99.11,54627,Mays Landing,US,Atlantic County,ATLANTIC CO VOCATIONAL,39.449815,School,-74.720179,Atlantic County Institute of Technology,NJ,Atlantic Ave,8330
91.67,93.55,93.33,94.41,63872,Audubon,US,2,AUDUBON BORO,39.890775,School,-75.072844,Audubon Junior/Senior High School,NJ,W Graisbury Ave,8106
85.77,91.51,87.6,88.38,87788,Barnegat,US,Ocean County,BARNEGAT TWP,39.753053,School,-74.222922,Barnegat High School,NJ,E Bay Ave,8005
81.49,85.78,89.86,91.87,49861,Bayonne,US,Hudson County,BAYONNE CITY,40.668725,School,-74.11446,Bayonne High School,NJ,Broadway,7002
91.96,85.16,85.06,85.41,77604,Belleville,US,Essex County,BELLEVILLE TOWN,40.7936,School,-74.149867,Belleville High School,NJ,Washington Ave,7109
92.42,95.41,94.96,94.44,42208,Belvidere,US,Warren County,BELVIDERE TOWN,40.829801,School,-75.07761,BELVIDERE HIGH SCHOOL,NJ,Water St,7823
92.59,100,93.65,98.25,45694,Teterboro,US,Bergen County,BERGEN COUNTY VOCATIONAL,40.861133,School,-74.057305,Bergen Arts and Sciences Charter School,NJ,US 46,7608
97.64,96.49,97.32,97.35,56719,Bergenfield,US,Bergen County,BERGENFIELD BORO,40.927762,School,-73.997238,Bergenfield High School,NJ,W Main St,7621
