,YEAR_left,COUNTY_NAME_left,DISTRICT_NAME,SCHOOL_NAME,SUBGROUP,FOUR_YR_ADJ_COHORT_COUNT,FOUR_YR_GRAD_RATE,GRADUATED_COUNT,TOTAL_BUDGET,Latitude,Longitude,Street,City,State,County,Zip,Country,Number_of_households,Median_household_income,Median_age,Median_age_male,Median_age_female,"Population_by_minimum_level_of_education/Male:_12th_grade,_no_diploma",Population_by_minimum_level_of_education/Male:_High_school_graduate,Population_by_minimum_level_of_education/Female:_12th_grade_no_diploma,Population_by_minimum_level_of_education/Female:_High_school_graduate,Population
0,2014,ATLANTIC,ATLANTIC CITY,ATLANTIC CITY HIGH SCHOOL,White,113,82.3,93,25383780,39.3643,-74.4229,Atlantic Ave,Atlantic City,NJ,Atlantic County,8401,US,306.0,37672.0,41.4,48.8,30.2,0.026000000000000002,0.56,0.0,0.511,39591.0
9,2014,MORRIS,MADISON BORO,Districtwide Total,White,181,98.34,178,25383780,40.7598,-74.4171,Park Ave,Madison,NJ,Morris County,7940,US,258.0,113148.0,32.0,33.3,31.8,0.057999999999999996,0.386,0.0,0.16699999999999998,16915.0
10,2014,MORRIS,MADISON BORO,MADISON HIGH SCHOOL,Schoolwide,223,95.96,214,25383780,40.7598,-74.4171,Park Ave,Madison,NJ,Morris County,7940,US,258.0,113148.0,32.0,33.3,31.8,0.057999999999999996,0.386,0.0,0.16699999999999998,16915.0
20,2014,MORRIS,MADISON BORO,MADISON HIGH SCHOOL,White,181,98.34,178,25383780,40.7598,-74.4171,Park Ave,Madison,NJ,Morris County,7940,US,258.0,113148.0,32.0,33.3,31.8,0.057999999999999996,0.386,0.0,0.16699999999999998,16915.0
21,2014,MORRIS,KINNELON BORO,Districtwide Total,Districtwide,185,97.3,180,25383780,41.0018,-74.3671,Kiel Ave,Butler,NJ,Morris County,7405,US,777.0,152594.0,44.9,39.1,46.9,0.0,0.133,0.0,0.09699999999999999,17809.0
27,2014,MORRIS,MADISON BORO,Districtwide Total,Districtwide,223,95.96,214,25383780,40.7598,-74.4171,Park Ave,Madison,NJ,Morris County,7940,US,258.0,113148.0,32.0,33.3,31.8,0.057999999999999996,0.386,0.0,0.16699999999999998,16915.0
28,2014,MORRIS,MONTVILLE TWP,MONTVILLE TOWNSHIP HIGH SCHOOL,White,252,98.41,248,25383780,40.9148,-74.3838,Rt 202 N,Montville,NJ,Morris County,7045,US,993.0,175781.0,49.6,48.6,50.8,0.002,0.10800000000000001,0.012,0.19899999999999998,9742.0
33,2014,MORRIS,MORRIS COUNTY VOCATIONAL,MORRIS COUNTY SCHOOL OF TECHNOLOGY,White,96,100.0,96,25383780,40.8923,-74.4774,Broadway,Denville,NJ,Morris County,7834,US,435.0,110529.0,43.0,40.8,44.3,0.0,0.188,0.0,0.24,17742.0
36,2014,MORRIS,MONTVILLE TWP,Districtwide Total,Districtwide,361,98.89,357,25383780,40.9148,-74.3838,Rt 202 N,Montville,NJ,Morris County,7045,US,993.0,175781.0,49.6,48.6,50.8,0.002,0.10800000000000001,0.012,0.19899999999999998,9742.0
37,2014,MORRIS,MONTVILLE TWP,Districtwide Total,Students with Disability,44,95.45,42,25383780,40.9148,-74.3838,Rt 202 N,Montville,NJ,Morris County,7045,US,993.0,175781.0,49.6,48.6,50.8,0.002,0.10800000000000001,0.012,0.19899999999999998,9742.0
46,2014,MORRIS,MONTVILLE TWP,Districtwide Total,White,252,98.41,248,25383780,40.9148,-74.3838,Rt 202 N,Montville,NJ,Morris County,7045,US,993.0,175781.0,49.6,48.6,50.8,0.002,0.10800000000000001,0.012,0.19899999999999998,9742.0
47,2014,MORRIS,MONTVILLE TWP,MONTVILLE TOWNSHIP HIGH SCHOOL,Schoolwide,361,98.89,357,25383780,40.9148,-74.3838,Rt 202 N,Montville,NJ,Morris County,7045,US,993.0,175781.0,49.6,48.6,50.8,0.002,0.10800000000000001,0.012,0.19899999999999998,9742.0
48,2014,MORRIS,MONTVILLE TWP,MONTVILLE TOWNSHIP HIGH SCHOOL,Students with Disability,44,95.45,42,25383780,40.9148,-74.3838,Rt 202 N,Montville,NJ,Morris County,7045,US,993.0,175781.0,49.6,48.6,50.8,0.002,0.10800000000000001,0.012,0.19899999999999998,9742.0
54,2014,MORRIS,MONTVILLE TWP,MONTVILLE TOWNSHIP HIGH SCHOOL,Asian,87,100.0,87,25383780,40.9148,-74.3838,Rt 202 N,Montville,NJ,Morris County,7045,US,993.0,175781.0,49.6,48.6,50.8,0.002,0.10800000000000001,0.012,0.19899999999999998,9742.0
56,2014,MORRIS,MONTVILLE TWP,Districtwide Total,Asian,87,100.0,87,25383780,40.9148,-74.3838,Rt 202 N,Montville,NJ,Morris County,7045,US,993.0,175781.0,49.6,48.6,50.8,0.002,0.10800000000000001,0.012,0.19899999999999998,9742.0
64,2014,MORRIS,JEFFERSON TWP,JEFFERSON TOWNSHIP HIGH SCHOOL,White,230,91.74,211,25383780,41.0191,-74.551,Weldon Rd,Oak Ridge,NJ,Morris County,7438,US,571.0,106106.0,51.4,51.1,52.1,0.033,0.21899999999999997,0.0,0.22399999999999998,11566.0
65,2014,MORRIS,HANOVER PARK REGIONAL,Districtwide Total,Districtwide,389,96.92,377,25383780,40.83,-74.43,Papermill Dr,Whippany,NJ,Morris County,7981,US,950.0,83426.0,45.3,43.2,48.5,0.012,0.36,0.0,0.303,9246.0
66,2014,MORRIS,HANOVER PARK REGIONAL,Districtwide Total,Students with Disability,61,90.16,55,25383780,40.83,-74.43,Papermill Dr,Whippany,NJ,Morris County,7981,US,950.0,83426.0,45.3,43.2,48.5,0.012,0.36,0.0,0.303,9246.0
73,2014,MORRIS,HANOVER PARK REGIONAL,Districtwide Total,Asian,50,98.0,49,25383780,40.83,-74.43,Papermill Dr,Whippany,NJ,Morris County,7981,US,950.0,83426.0,45.3,43.2,48.5,0.012,0.36,0.0,0.303,9246.0
75,2014,MORRIS,HANOVER PARK REGIONAL,Districtwide Total,White,313,96.81,303,25383780,40.83,-74.43,Papermill Dr,Whippany,NJ,Morris County,7981,US,950.0,83426.0,45.3,43.2,48.5,0.012,0.36,0.0,0.303,9246.0
76,2014,MORRIS,HANOVER PARK REGIONAL,WHIPPANY PARK HIGH SCHOOL,Schoolwide,175,96.57,169,25383780,40.83,-74.43,Papermill Dr,Whippany,NJ,Morris County,7981,US,950.0,83426.0,45.3,43.2,48.5,0.012,0.36,0.0,0.303,9246.0
91,2014,MORRIS,KINNELON BORO,Districtwide Total,White,174,97.7,170,25383780,41.0018,-74.3671,Kiel Ave,Butler,NJ,Morris County,7405,US,777.0,152594.0,44.9,39.1,46.9,0.0,0.133,0.0,0.09699999999999999,17809.0
92,2014,MORRIS,KINNELON BORO,KINNELON HIGH SCHOOL,Schoolwide,185,97.3,180,25383780,41.0018,-74.3671,Kiel Ave,Butler,NJ,Morris County,7405,US,777.0,152594.0,44.9,39.1,46.9,0.0,0.133,0.0,0.09699999999999999,17809.0
