COUNTY,DISTRICT_NAME,DIST_CODE,EQUALIZATION_AID,EDUCATIONAL_ADEQUACY_AID,CHOICE_AID,TRANSPORTATION_AID,SPECIAL_EDUCATION_CATEGORICAL_AID,SECURITY_AID,UNDER_ADEQUACY_AID,SUPPLEMENTAL_ENROLLMENT_GROWTH_AID,PARCC_READINESS_AID,PER_PUPIL_GROWTH_AID,ADJUSTMENT_AID,ADDITIONAL_ADJUSTMENT_AID,K-12_2014-2015_TOTAL_AID
ATLANTIC,ABSECON CITY,10,"810,011",0,0,"59,759","507,050","44,731","77,534",0,"9,570","9,570",0,0,"1,518,225"
ATLANTIC,ATLANTIC CITY,110,"2,333,506",0,"121,384","1,236,828","3,607,799","2,474,835",0,0,"67,870","67,870","7,791,462",0,"17,701,554"
ATLANTIC,ATLANTIC CO VOCATIONAL,120,"3,120,415",0,0,0,"448,112","63,177",0,0,"13,060","13,060",0,2,"3,657,826"
ATLANTIC,BRIGANTINE CITY,570,0,0,0,"498,223","520,704","195,858",0,0,"8,560","8,560","1,059,602",0,"2,291,507"
ATLANTIC,BUENA REGIONAL,590,"17,468,408",0,0,"207,040","1,134,901","556,813",0,0,"18,580","18,580",0,0,"19,404,322"
ATLANTIC,CORBIN CITY,960,"396,300",0,0,"71,774","40,144","10,631",0,0,620,620,"178,412",0,"698,501"
ATLANTIC,EGG HARBOR CITY,1300,"4,869,266",0,0,"22,670","262,402","37,224",0,0,"4,775","4,775",0,0,"5,201,112"
ATLANTIC,EGG HARBOR TWP,1310,"33,108,509",0,0,"775,825","4,392,582","1,530,474","70,558",0,"74,015","74,015",0,0,"40,025,978"
ATLANTIC,ESTELL MANOR CITY,1410,"1,604,758",0,"203,090","45,514","167,247","36,675",0,0,"2,340","2,340","19,046",0,"2,081,010"
ATLANTIC,FOLSOM BORO,1540,"4,162,988",0,"914,438","47,531","275,873","78,228","30,122",0,"5,180","5,180",0,"50,568","5,570,108"
ATLANTIC,GALLOWAY TWP,1690,"20,530,313",0,0,"339,014","1,973,337","730,204",0,0,"33,240","33,240",0,0,"23,639,348"
ATLANTIC,GREATER EGG HARBOR REG,1790,"27,912,902",0,0,"387,362","2,194,969","664,767",0,0,"34,620","34,620",0,0,"31,229,240"
ATLANTIC,HAMILTON TWP,1940,"19,321,187",0,0,"728,399","1,746,258","764,626","135,379",0,"29,645","29,645",0,0,"22,755,139"
ATLANTIC,HAMMONTON TOWN,1960,"11,214,703",0,"1,787,422","132,393","1,396,079","129,159","500,000",0,"27,340","27,340",0,0,"15,214,436"
ATLANTIC,LINWOOD CITY,2680,"128,197",0,0,"102,504","487,951","64,088",0,0,"8,005","8,005","773,175",0,"1,571,925"
ATLANTIC,LONGPORT,2780,0,0,0,"20,603","33,477","4,191",0,0,500,500,"32,446",0,"91,717"
ATLANTIC,MAINLAND REGIONAL,2910,"6,193,426",0,"377,492","72,655","887,145","37,858",0,0,"14,230","14,230",0,0,"7,597,036"
ATLANTIC,MARGATE CITY,3020,0,0,0,"134,194","312,910","43,753",0,0,"5,030","5,030","45,463",0,"546,380"
ATLANTIC,MULLICA TWP,3480,"4,048,982",0,0,"231,267","361,974","145,886","11,546",0,"6,170","6,170","554,184",0,"5,366,179"
ATLANTIC,NORTHFIELD CITY,3720,"3,224,630",0,0,"12,735","592,343","24,856","11,295",0,"9,660","9,660",0,0,"3,885,179"
ATLANTIC,PLEASANTVILLE CITY,4180,"46,591,510",0,0,"593,318","2,156,890","1,332,096",0,0,"36,775","36,775","14,090,235",0,"64,837,599"
ATLANTIC,PORT REPUBLIC CITY,4240,"239,382",0,"109,428","47,385","83,397","12,595",0,0,"1,870","1,870","495,546",0,"991,473"
ATLANTIC,SOMERS POINT CITY,4800,"4,959,725",0,0,"16,457","561,975","60,375","12,194",0,"9,890","9,890",0,0,"5,630,506"
