YEAR,COUNTY_NAME,DISTRICT_NAME,DIST_CODE,K-12_2014-2015_TOTAL AID,EQUALIZATION_AID,EDUCATIONAL_ADEQUACY_AID,CHOICE_AID,TRANSPORTATION_AID,SPECIAL_EDUCATION_CATEGORICAL_AID,SECURITY_AID,UNDER_ADEQUACY_AID,SUPPLEMENTAL_ENROLLMENT_GROWTH_AID,PARCC_READINESS_AID,PER_PUPIL_GROWTH_AID,ADJUSTMENT_AID,ADDITIONAL_ADJUSTMENT_AID,TOTAL,ONE _YEAR_AID_CHANGE
2015-2016,ATLANTIC,ABSECON CITY,10,"1,518,225","810,011",0,0,"59,759","507,050","44,731","77,534",0,"9,570","9,570",0,0,1518225.00,0
2015-2016,ATLANTIC,ATLANTIC CITY,110,"17,701,554","2,333,506",0,"257,941","1,236,828","3,607,799","2,474,835",0,0,"67,870","67,870","7,791,462",0,17838111.00,"136,557"
2015-2016,ATLANTIC,ATLANTIC CO VOCATIONAL,120,"3,657,826","3,120,415",0,0,0,"448,112","63,177",0,0,"13,060","13,060",0,2,3657826.00,0
2015-2016,ATLANTIC,ATLANTIC CO SPECIAL SERV,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
2015-2016,ATLANTIC,BRIGANTINE CITY,570,"2,291,507",0,0,0,"498,223","520,704","195,858",0,0,"8,560","8,560","1,059,602",0,2291507.00,0
2015-2016,ATLANTIC,BUENA REGIONAL,590,"19,404,322","17,468,408",0,0,"207,040","1,134,901","556,813",0,0,"18,580","18,580",0,0,19404322.00,0
2015-2016,ATLANTIC,CORBIN CITY,960,"698,501","396,300",0,0,"71,774","40,144","10,631",0,0,620,620,"178,412",0,698501.00,0
2015-2016,ATLANTIC,EGG HARBOR CITY,1300,"5,201,112","4,869,266",0,0,"22,670","262,402","37,224",0,0,"4,775","4,775",0,0,5201112.00,0
2015-2016,ATLANTIC,EGG HARBOR TWP,1310,"40,025,978","33,108,509",0,0,"775,825","4,392,582","1,530,474","70,558",0,"74,015","74,015",0,0,40025978.00,0
2015-2016,ATLANTIC,ESTELL MANOR CITY,1410,"2,081,010","1,604,758",0,"247,240","45,514","167,247","36,675",0,0,"2,340","2,340","19,046",0,2125160.00,"44,150"
2015-2016,ATLANTIC,FOLSOM BORO,1540,"5,570,108","4,162,988",0,"838,586","47,531","275,873","78,228","30,122",0,"5,180","5,180",0,"126,420",5570108.00,0
2015-2016,ATLANTIC,GALLOWAY TWP,1690,"23,639,348","20,530,313",0,0,"339,014","1,973,337","730,204",0,0,"33,240","33,240",0,0,23639348.00,0
2015-2016,ATLANTIC,GREATER EGG HARBOR REG,1790,"31,229,240","27,912,902",0,0,"387,362","2,194,969","664,767",0,0,"34,620","34,620",0,0,31229240.00,0
2015-2016,ATLANTIC,HAMILTON TWP,1940,"22,755,139","19,321,187",0,0,"728,399","1,746,258","764,626","135,379",0,"29,645","29,645",0,0,22755139.00,0
2015-2016,ATLANTIC,HAMMONTON TOWN,1960,"15,214,436","11,214,703",0,"1,846,348","132,393","1,396,079","129,159","500,000",0,"27,340","27,340",0,0,15273362.00,"58,926"
2015-2016,ATLANTIC,LINWOOD CITY,2680,"1,571,925","128,197",0,0,"102,504","487,951","64,088",0,0,"8,005","8,005","773,175",0,1571925.00,0
2015-2016,ATLANTIC,LONGPORT,2780,"91,717",0,0,0,"20,603","33,477","4,191",0,0,500,500,"32,446",0,91717.00,0
2015-2016,ATLANTIC,MAINLAND REGIONAL,2910,"7,597,036","6,193,426",0,"407,294","72,655","887,145","37,858",0,0,"14,230","14,230",0,0,7626838.00,"29,802"
2015-2016,ATLANTIC,MARGATE CITY,3020,"546,380",0,0,0,"134,194","312,910","43,753",0,0,"5,030","5,030","45,463",0,546380.00,0
2015-2016,ATLANTIC,MULLICA TWP,3480,"5,366,179","4,048,982",0,0,"231,267","361,974","145,886","11,546",0,"6,170","6,170","554,184",0,5366179.00,0
2015-2016,ATLANTIC,NORTHFIELD CITY,3720,"3,885,179","3,224,630",0,0,"12,735","592,343","24,856","11,295",0,"9,660","9,660",0,0,3885179.00,0
2015-2016,ATLANTIC,PLEASANTVILLE CITY,4180,"64,837,599","46,591,510",0,0,"593,318","2,156,890","1,332,096",0,0,"36,775","36,775","14,090,235",0,64837599.00,0
2015-2016,ATLANTIC,PORT REPUBLIC CITY,4240,"991,473","239,382",0,"159,168","47,385","83,397","12,595",0,0,"1,870","1,870","495,546",0,1041213.00,"49,740"
2015-2016,ATLANTIC,SOMERS POINT CITY,4800,"5,630,506","4,959,725",0,0,"16,457","561,975","60,375","12,194",0,"9,890","9,890",0,0,5630506.00,0
2015-2016,ATLANTIC,VENTNOR CITY,5350,"2,088,885",0,0,0,"328,572","693,629","344,762",0,0,"10,650","10,650","700,622",0,2088885.00,0
2015-2016,ATLANTIC,WEYMOUTH TWP,5760,"2,371,540","1,748,871",0,0,"157,135","165,399","51,597",0,0,"2,460","2,460","241,451","2,167",2371540.00,0
2015-2016,BERGEN,ALLENDALE BORO,40,"335,548",0,0,0,"4,330","301,541","12,706",0,0,"8,485","8,485",0,1,335548.00,0
2015-2016,BERGEN,ALPINE BORO,80,"143,886",0,0,0,"48,806","74,257","15,923",0,0,"2,450","2,450",0,0,143886.00,0
2015-2016,BERGEN,BERGEN CO SPECIAL SERVICE,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
2015-2016,BERGEN,BERGEN COUNTY VOCATIONAL,290,"5,651,234",0,0,0,0,"1,243,499","170,378",0,0,"21,550","21,550","4,194,257",0,5651234.00,0
2015-2016,BERGEN,BERGENFIELD BORO,300,"10,681,905","8,165,600",0,"238,431","80,089","2,072,512","155,605",0,0,"35,030","35,030",0,0,10782297.00,"100,392"
2015-2016,BERGEN,BOGOTA BORO,440,"5,628,951","4,656,216",0,"33,438","47,315","757,950","64,794",0,0,"11,100","11,100",0,"47,038",5628951.00,0
2015-2016,BERGEN,CARLSTADT BORO,740,"251,986",0,0,0,"10,530","207,971","21,525",0,0,"5,980","5,980",0,0,251986.00,0
2015-2016,BERGEN,CARLSTADT-EAST RUTHERFORD,745,"360,672",0,0,0,"28,233","305,342","16,537",0,0,"5,280","5,280",0,0,360672.00,0
2015-2016,BERGEN,CLIFFSIDE PARK BORO,890,"3,603,914","1,544,866",0,0,"32,152","1,350,696","358,736","268,344",0,"24,560","24,560",0,0,3603914.00,0
2015-2016,BERGEN,CLOSTER BORO,930,"434,763",0,0,0,"15,420","381,600","16,303",0,0,"10,720","10,720",0,0,434763.00,0
2015-2016,BERGEN,CRESSKILL BORO,990,"744,580",0,0,0,"16,859","667,983","25,438",0,0,"17,150","17,150",0,0,744580.00,0
