COUNTY,DISTRICT_NAME,DIST_CODE,K-12_2015-2016_TOTAL AID,EQUALIZATION_AID,EDUCATIONAL_ADEQUACY_AID,CHOICE_AID,TRANSPORTATION_AID,SPECIAL_EDUCATION_CATEGORICAL_AID,SECURITY_AID,UNDER_ADEQUACY_AID,SUPPLEMENTAL_ENROLLMENT_GROWTH_AID,PARCC_READINESS_AID,PER_PUPIL_GROWTH_AID,ADJUSTMENT_AID,ADDITIONAL_ADJUSTMENT_AID,PROFESSIONAL_LEARNING_COMMUNITY_AID,HOST_DISTRICT_SUPPORT_AID,K-12_2016-2017_TOTAL_AID,ONE _YEAR_AID_CHANGE,%_AID_CHANGE
ATLANTIC,ABSECON CITY,10,"1,518,225","798,863",0,0,"69,426","515,308","51,965","77,534",0,"9,570","9,570",0,0,"9,030",0,"1,541,266","23,041",1.50%
ATLANTIC,ATLANTIC CITY,110,"17,838,111","2,637,885",0,"182,076","1,237,600","3,676,081","2,501,915",0,0,"67,870","67,870","7,518,761","75,865","67,695","826,167","18,859,785","1,021,674",5.70%
ATLANTIC,ATLANTIC CO VOCATIONAL,120,"3,657,826","3,097,385",0,0,0,"480,007","80,831",0,0,"13,060","13,060",0,2,"16,580",0,"3,700,925","43,099",1.20%
ATLANTIC,BRIGANTINE CITY,570,"2,291,507",0,0,0,"496,944","523,861","196,809",0,0,"8,560","8,560","1,059,602",0,"7,460",0,"2,301,796","10,289",0.40%
ATLANTIC,BUENA REGIONAL,590,"19,404,322","17,468,408",0,0,"207,040","1,134,901","556,813",0,0,"18,580","18,580",0,0,"17,170",0,"19,421,492","17,170",0.10%
ATLANTIC,CORBIN CITY,960,"698,501","397,218",0,0,"71,890","40,858","10,640",0,0,620,620,"178,364",0,720,0,"700,930","2,429",0.30%
ATLANTIC,EGG HARBOR CITY,1300,"5,201,112","4,893,235",0,0,"24,822","267,087","43,161",0,0,"4,775","4,775",0,0,"4,820",0,"5,242,675","41,563",0.80%
ATLANTIC,EGG HARBOR TWP,1310,"40,025,978","33,212,953",0,0,"891,571","4,443,028","1,547,671","70,558",0,"74,015","74,015",0,0,"71,040",0,"40,384,851","358,873",0.90%
ATLANTIC,ESTELL MANOR CITY,1410,"2,125,160","1,604,758",0,"256,070","45,514","167,247","36,675",0,0,"2,340","2,340","19,046",0,"1,980",0,"2,135,970","10,810",0.50%
ATLANTIC,FOLSOM BORO,1540,"5,570,108","4,180,760",0,"876,512","50,786","279,894","79,030","30,122",0,"5,180","5,180",0,"126,420","4,730",0,"5,638,614","68,506",1.20%
ATLANTIC,GALLOWAY TWP,1690,"23,639,348","20,531,501",0,0,"389,818","1,996,732","739,882",0,0,"33,240","33,240",0,0,"32,185",0,"23,756,598","117,250",0.50%
ATLANTIC,GREATER EGG HARBOR REG,1790,"31,229,240","27,932,170",0,0,"433,111","2,210,222","672,859",0,0,"34,620","34,620",0,0,"32,050",0,"31,349,652","120,412",0.40%
ATLANTIC,HAMILTON TWP,1940,"22,755,139","19,424,564",0,0,"764,014","1,768,740","767,425","135,379",0,"29,645","29,645",0,0,"29,100",0,"22,948,512","193,373",0.80%
ATLANTIC,HAMMONTON TOWN,1960,"15,273,362","11,255,855",0,"1,915,095","151,898","1,426,194","151,790","500,000",0,"27,340","27,340",0,0,"27,510",152,"15,483,174","209,812",1.40%
ATLANTIC,LINWOOD CITY,2680,"1,571,925","128,197",0,0,"102,504","487,951","64,088",0,0,"8,005","8,005","773,175",0,"7,770",0,"1,579,695","7,770",0.50%
ATLANTIC,LONGPORT,2780,"91,717",0,0,0,"20,694","33,846","4,178",0,0,500,500,"32,446",0,510,0,"92,674",957,1.00%
ATLANTIC,MAINLAND REGIONAL,2910,"7,626,838","6,194,693",0,"437,096","84,661","894,428","43,566",0,0,"14,230","14,230",0,0,"13,340",0,"7,696,244","69,406",0.90%
ATLANTIC,MARGATE CITY,3020,"546,380",0,0,0,"134,173","314,672","43,782",0,0,"5,030","5,030","45,463",0,"4,420",0,"552,570","6,190",1.10%
ATLANTIC,MULLICA TWP,3480,"5,366,179","4,089,951",0,0,"236,446","368,568","147,565","11,546",0,"6,170","6,170","534,788",0,"6,720",0,"5,407,924","41,745",0.80%
ATLANTIC,NORTHFIELD CITY,3720,"3,885,179","3,230,115",0,0,"14,004","597,038","28,076","11,295",0,"9,660","9,660",0,0,"8,830",0,"3,908,678","23,499",0.60%
ATLANTIC,PLEASANTVILLE CITY,4180,"64,837,599","46,765,945",0,0,"605,714","2,182,722","1,345,381",0,0,"36,775","36,775","13,872,424",0,"35,270",0,"64,881,006","43,407",0.10%
ATLANTIC,PORT REPUBLIC CITY,4240,"1,041,213","259,429",0,"179,064","47,977","85,872","12,745",0,0,"1,870","1,870","478,202",0,"1,860",0,"1,068,889","27,676",2.70%
ATLANTIC,SOMERS POINT CITY,4800,"5,630,506","4,978,335",0,0,"21,570","568,696","70,464","12,194",0,"9,890","9,890",0,0,"9,200",0,"5,680,239","49,733",0.90%
ATLANTIC,VENTNOR CITY,5350,"2,088,885",0,0,0,"330,385","697,283","344,749",0,0,"10,650","10,650","700,622",0,"9,690",0,"2,104,029","15,144",0.70%
ATLANTIC,WEYMOUTH TWP,5760,"2,371,540","1,748,871",0,0,"157,135","165,399","51,597",0,0,"2,460","2,460","241,451","2,167","2,080",0,"2,373,620","2,080",0.10%
BERGEN,ALLENDALE BORO,40,"335,548",0,0,0,"4,875","300,801","14,669",0,0,"8,485","8,485",0,1,"8,880",0,"346,196","10,648",3.20%
BERGEN,ALPINE BORO,80,"143,886",0,0,0,"50,240","73,443","15,978",0,0,"2,450","2,450",0,0,"2,260",0,"146,821","2,935",2.00%
BERGEN,BERGEN COUNTY VOCATIONAL,290,"5,651,234",0,0,0,0,"1,264,693","171,777",0,0,"21,550","21,550","4,194,257",0,"21,720",0,"5,695,547","44,313",0.80%
BERGEN,BERGENFIELD BORO,300,"10,782,297","8,168,853",0,"225,882","95,498","2,104,440","181,274",0,0,"35,030","35,030",0,"12,549","35,060","2,721","10,896,337","114,040",1.10%
BERGEN,BOGOTA BORO,440,"5,628,951","4,656,232",0,0,"53,824","764,979","73,248",0,0,"11,100","11,100",0,"80,476","11,230",0,"5,662,189","33,238",0.60%
BERGEN,CARLSTADT BORO,740,"251,986",0,0,0,"11,303","205,076","24,947",0,0,"5,980","5,980",0,0,"5,390",0,"258,676","6,690",2.70%
BERGEN,CARLSTADT-EAST RUTHERFORD,745,"360,672",0,0,0,"33,623","299,321","18,800",0,0,"5,280","5,280",0,0,"5,010",0,"367,314","6,642",1.80%
BERGEN,CLIFFSIDE PARK BORO,890,"3,603,914","1,524,741",0,0,"41,923","1,378,925","377,200","268,344",0,"24,560","24,560",0,0,"25,350",0,"3,665,603","61,689",1.70%
BERGEN,CLOSTER BORO,930,"434,763",0,0,0,"17,362","379,564","18,669",0,0,"10,720","10,720",0,0,"10,830",0,"447,865","13,102",3.00%
BERGEN,CRESSKILL BORO,990,"744,580",0,0,0,"18,791","668,578","29,323",0,0,"17,150","17,150",0,0,"17,580",0,"768,572","23,992",3.20%
BERGEN,DEMAREST BORO,1070,"324,035",0,0,0,"9,872","290,307","11,558",0,0,"6,960","6,960",0,0,"6,820",0,"332,477","8,442",2.60%
BERGEN,DUMONT BORO,1130,"8,622,469","6,770,509",0,0,"48,860","1,729,791","53,501",0,0,"25,900","25,900",0,0,"25,110",0,"8,679,571","57,102",0.70%
