County,Dist,District,"2016-17 Total
K-12 Aid",Governor's Budget Message (GBM) 2017-2018 Total Aid,2017-18 Approp. Act Revised Total K-12 Aid,"Equalization
Aid","Educational
Adequacy Aid",Choice Aid,"Transportation
Aid","Special
Education Categorical Aid","Security
Aid","Under
Adequacy Aid","Supplemental
Enrollment
Growth Aid","PARCC
Readiness Aid","Per Pupil
Growth Aid","Adjustment
Aid","Professional
Learning
Community
Aid","Host District
Support Aid",2017-18 Approp. Act Revised Total K-12 Aid,"One Year
K-12 Aid
Difference",Aid Percent Difference
ATLANTIC,10,ABSECON CITY,"1,541,266","1,541,266","1,694,796","952,393",0,0,"69,426","515,308","51,965","77,534",0,"9,570","9,570",0,"9,030",0,"1,694,796","153,530",9.96%
ATLANTIC,110,ATLANTIC CITY,"18,859,785","18,920,666","24,337,833","8,055,052",0,"212,422","1,237,600","3,676,081","2,501,915",0,0,"67,870","67,870","7,594,626","67,695","856,702","24,337,833","5,478,048",29.05%
ATLANTIC,120,ATLANTIC CO VOCATIONAL,"3,700,925","3,700,925","4,940,398","4,336,858",0,0,0,"480,007","80,831",0,0,"13,060","13,060",2,"16,580",0,"4,940,398","1,239,473",33.49%
ATLANTIC,570,BRIGANTINE CITY,"2,301,796","2,301,796","2,255,760",0,0,0,"496,944","523,861","196,809",0,0,"8,560","8,560","1,013,566","7,460",0,"2,255,760","-46,036",-2.00%
ATLANTIC,590,BUENA REGIONAL,"19,421,492","19,421,492","19,421,492","17,468,408",0,0,"207,040","1,134,901","556,813",0,0,"18,580","18,580",0,"17,170",0,"19,421,492",0,0.00%
ATLANTIC,960,CORBIN CITY,"700,930","700,930","686,911","397,218",0,0,"71,890","40,858","10,640",0,0,620,620,"164,345",720,0,"686,911","-14,019",-2.00%
ATLANTIC,1300,EGG HARBOR CITY,"5,242,675","5,242,895","5,301,220","4,951,560",0,0,"24,822","267,087","43,161",0,0,"4,775","4,775",0,"4,820",220,"5,301,220","58,545",1.12%
ATLANTIC,1310,EGG HARBOR TWP,"40,384,851","40,384,851","41,838,342","34,666,444",0,0,"891,571","4,443,028","1,547,671","70,558",0,"74,015","74,015",0,"71,040",0,"41,838,342","1,453,491",3.60%
ATLANTIC,1410,ESTELL MANOR CITY,"2,135,970","2,153,630","2,134,584","1,604,758",0,"273,730","45,514","167,247","36,675",0,0,"2,340","2,340",0,"1,980",0,"2,134,584","-1,386",-0.06%
ATLANTIC,1540,FOLSOM BORO,"5,638,614","5,638,614","5,641,739","4,183,885",0,"876,512","50,786","279,894","79,030","30,122",0,"5,180","5,180","126,420","4,730",0,"5,641,739","3,125",0.06%
ATLANTIC,1690,GALLOWAY TWP,"23,756,598","23,756,598","24,008,853","20,783,756",0,0,"389,818","1,996,732","739,882",0,0,"33,240","33,240",0,"32,185",0,"24,008,853","252,255",1.06%
ATLANTIC,1790,GREATER EGG HARBOR REG,"31,349,652","31,349,652","31,353,710","27,932,170",0,0,"433,111","2,214,280","672,859",0,0,"34,620","34,620",0,"32,050",0,"31,353,710","4,058",0.01%
ATLANTIC,1940,HAMILTON TWP,"22,948,512","22,948,512","23,178,276","19,654,328",0,0,"764,014","1,768,740","767,425","135,379",0,"29,645","29,645",0,"29,100",0,"23,178,276","229,764",1.00%
