YEAR,COUNTY_NAME,Dist,DISTRICT_NAME,"2017-18 Total
K-12 Aid",2018-19 Governor's Budget Message (GBM) Total K-12 Aid,2018-19 Approp_Act Revised Total K-12 Aid,"Equalization
Aid","Educational
Adequacy Aid",Choice Aid,"Transportation
Aid","Special
Education Categorical Aid","Security
Aid","Adjustment
Aid",TOTAL,"One Year
K-12 Aid
Difference",One Year Aid Percent Difference
2018-2019,Atlantic,10,Absecon City,"1,694,796","1,779,536","3,063,939","1,702,169",0,0,"343,882","756,476","261,412",0,3063939,"1,369,143",80.79%
2018-2019,Atlantic,110,Atlantic City,"24,337,833","25,544,104","29,044,104","11,053,783",0,"248,683","1,390,702","5,620,334","3,248,102","7,482,500",29044104,"4,706,271",19.34%
2018-2019,Atlantic,120,Atlantic Co Vocational,"4,940,398","5,187,418","8,687,418","6,668,205",0,0,0,"1,417,691","601,522",0,8687418,"3,747,020",75.84%
2018-2019,Atlantic,570,Brigantine City,"2,255,760","2,348,408","2,195,236",0,0,0,"496,944","532,335","196,809","969,148",2195236,"-60,524",-2.68%
2018-2019,Atlantic,590,Buena Regional,"19,421,492","19,421,492","19,336,095","17,468,408",0,0,"175,973","1,134,901","556,813",0,19336095,"-85,397",-0.44%
2018-2019,Atlantic,960,Corbin City,"686,911","701,402","672,175","397,218",0,0,"71,890","56,035","11,067","135,965",672175,"-14,736",-2.15%
2018-2019,Atlantic,1300,Egg Harbor City,"5,301,220","5,566,281","5,566,281","4,951,560",0,0,"123,396","267,087","224,238",0,5566281,"265,061",5.00%
2018-2019,Atlantic,1310,Egg Harbor Twp,"41,838,342","43,930,259","43,930,259","34,666,444",0,0,"3,273,116","4,443,028","1,547,671",0,43930259,"2,091,917",5.00%
2018-2019,Atlantic,1410,Estell Manor City,"2,134,584","2,210,278","2,162,260","1,604,758",0,"356,084",0,"167,247","34,171",0,2162260,"27,676",1.30%
2018-2019,Atlantic,1540,Folsom Boro,"5,641,739","5,869,132","5,869,132","4,183,885",0,"1,062,672","181,520","362,025","79,030",0,5869132,"227,393",4.03%
2018-2019,Atlantic,1690,Galloway Twp,"24,008,853","24,609,074","24,609,074","20,783,756",0,0,"1,088,704","1,996,732","739,882",0,24609074,"600,221",2.50%
2018-2019,Atlantic,1790,Greater Egg Harbor Reg,"31,353,710","32,137,553","32,137,553","27,932,170",0,0,"1,318,244","2,214,280","672,859",0,32137553,"783,843",2.50%
2018-2019,Atlantic,1940,Hamilton Twp,"23,178,276","24,337,190","24,337,190","19,654,328",0,0,"1,774,245","2,090,080","818,537",0,24337190,"1,158,914",5.00%
2018-2019,Atlantic,1960,Hammonton Town,"16,436,910","17,620,525","19,310,631","13,026,938",0,"2,455,116","757,886","2,297,445","773,246",0,19310631,"2,873,721",17.48%
2018-2019,Atlantic,2680,Linwood City,"1,548,101","1,652,882","1,505,899","128,197",0,0,"111,744","607,272","64,088","594,598",1505899,"-42,202",-2.73%
2018-2019,Atlantic,2780,Longport,"90,821","101,275","89,130",0,0,0,"20,694","44,828","4,178","19,430",89130,"-1,691",-1.86%
2018-2019,Atlantic,2910,Mainland Regional,"7,700,745","7,900,944","7,900,944","6,194,693",0,"461,888","301,868","898,929","43,566",0,7900944,"200,199",2.60%
2018-2019,Atlantic,3020,Margate City,"541,758","602,847","535,848",0,0,0,"136,684","314,672","43,782","40,710",535848,"-5,910",-1.09%
2018-2019,Atlantic,3480,Mullica Twp,"5,419,739","5,481,097","5,481,097","4,101,766",0,0,"236,446","442,376","165,721","534,788",5481097,"61,358",1.13%
2018-2019,Atlantic,3720,Northfield City,"3,913,230","4,075,335","4,075,335","3,234,667",0,0,"59,085","666,852","114,731",0,4075335,"162,105",4.14%
2018-2019,Atlantic,4180,Pleasantville City,"64,048,801","64,285,734","64,048,801","46,765,945",0,0,"699,058","2,182,722","1,597,790","12,803,286",64048801,0,0.00%
2018-2019,Atlantic,4240,Port Republic City,"1,078,238","1,078,238","1,072,547","259,429",0,"211,860","47,977","85,872","12,745","454,664",1072547,"-5,691",-0.53%
2018-2019,Atlantic,4800,Somers Point City,"5,693,197","5,816,797","5,816,797","4,991,293",0,0,"142,184","568,696","114,624",0,5816797,"123,600",2.17%
2018-2019,Atlantic,5350,Ventnor City,"2,061,948","2,121,773","2,027,758",0,0,0,"417,427","701,056","344,749","564,526",2027758,"-34,190",-1.66%
2018-2019,Atlantic,5760,Weymouth Twp,"2,326,148","2,365,542","2,245,862","1,748,871",0,0,"170,118","165,399","58,408","103,066",2245862,"-80,286",-3.45%
2018-2019,Bergen,40,Allendale Boro,"382,381","391,941","509,385",0,0,0,"22,726","415,550","71,109",0,509385,"127,004",33.21%
2018-2019,Bergen,80,Alpine Boro,"155,398","168,727","172,110",0,0,0,"74,112","82,020","15,978",0,172110,"16,712",10.75%
2018-2019,Bergen,290,Bergen County Vocational,"5,695,547","6,027,000","5,695,547",0,0,0,0,"1,618,948","213,795","3,862,804",5695547,0,0.00%
2018-2019,Bergen,300,Bergenfield Boro,"11,359,313","11,935,421","11,935,421","8,619,280",0,"258,495","578,477","2,104,440","374,729",0,11935421,"576,108",5.07%
2018-2019,Bergen,440,Bogota Boro,"5,809,244","6,099,706","6,099,706","4,803,287",0,0,"203,338","764,979","328,102",0,6099706,"290,462",5.00%
2018-2019,Bergen,740,Carlstadt Boro,"280,294","321,134","328,095",0,0,0,"45,263","226,694","56,138",0,328095,"47,801",17.05%
2018-2019,Bergen,745,Carlstadt-East Rutherford,"385,730","428,678","428,678",0,0,0,"92,141","317,737","18,800",0,428678,"42,948",11.13%
2018-2019,Bergen,890,Cliffside Park Boro,"3,909,862","4,105,355","4,941,897","1,769,000",0,0,"323,598","1,923,091","926,208",0,4941897,"1,032,035",26.40%
2018-2019,Bergen,930,Closter Boro,"493,089","539,783","693,682",0,0,0,"93,632","508,703","91,347",0,693682,"200,593",40.68%
2018-2019,Bergen,990,Cresskill Boro,"832,891","927,305","1,047,524",0,0,0,"82,508","821,900","143,116",0,1047524,"214,633",25.77%
2018-2019,Bergen,1070,Demarest Boro,"353,347","392,632","392,632",0,0,0,"49,777","311,177","31,678",0,392632,"39,285",11.12%
2018-2019,Bergen,1130,Dumont Boro,"8,691,772","8,874,308","8,874,308","6,782,710",0,0,"222,500","1,729,791","139,307",0,8874308,"182,536",2.10%
2018-2019,Bergen,1230,East Rutherford Boro,"626,225","698,753","698,753",0,0,0,"133,577","435,275","129,901",0,698753,"72,528",11.58%
2018-2019,Bergen,1270,Edgewater Boro,"1,034,472","1,086,196","1,199,041",0,0,0,"618,022","535,423","45,596",0,1199041,"164,569",15.91%
2018-2019,Bergen,1345,Elmwood Park,"4,738,567","4,975,495","8,475,495","4,849,318",0,0,"547,120","2,318,383","760,674",0,8475495,"3,736,928",78.86%
2018-2019,Bergen,1360,Emerson Boro,"553,411","624,754","678,133",0,0,0,"134,241","462,501","81,391",0,678133,"124,722",22.54%
2018-2019,Bergen,1370,Englewood City,"9,489,104","9,645,811","9,641,682",0,0,"4,881,888","830,412","2,192,419","1,201,342","535,621",9641682,"152,578",1.61%
2018-2019,Bergen,1380,Englewood Cliffs Boro,"333,151","379,136","414,002",0,0,0,"141,069","263,965","8,968",0,414002,"80,851",24.27%
2018-2019,Bergen,1450,Fair Lawn Boro,"3,963,579","4,242,356","6,351,196","682,387",0,0,"840,898","4,363,870","464,041",0,6351196,"2,387,617",60.24%
2018-2019,Bergen,1470,Fairview Boro,"8,690,741","9,125,278","12,625,278","9,995,512",0,0,"159,545","1,748,955","721,266",0,12625278,"3,934,537",45.27%
