YEAR,COUNTY_NAME,Dist,DISTRICT_NAME,"FY19 
K to 12 Aid","Equalization
Aid","Educational
Adequacy Aid","Proj FY20
Choice Aid","Transportation
Aid","Special
Education Aid","Security
Aid","Adjustment
Aid",Vocational Expansion Stabilization Aid,TOTAL,"FY19- FY20
K to 12 Aid
Difference",Aid Percent Difference
2020,Atlantic,10,Absecon City,"3,063,939","1,992,142",0,0,"343,882","756,476","261,412",0,0,3353912,"289,973",9.46%
2020,Atlantic,110,Atlantic City,"29,044,104","22,497,852",0,"198,020","1,390,702","5,620,334","3,248,102","7,482,500",0,40437510,"11,393,406",39.23%
2020,Atlantic,120,Atlantic Co Vocational,"8,687,418","8,179,370",0,0,0,"1,417,691","601,522",0,0,10198583,"1,511,165",17.39%
2020,Atlantic,570,Brigantine City,"2,195,236",0,0,0,"496,944","532,335","196,809","826,474",0,2052562,"-142,674",-6.50%
2020,Atlantic,590,Buena Regional,"19,336,095","17,269,149",0,0,"175,973","1,134,901","556,813",0,0,19136836,"-199,259",-1.03%
2020,Atlantic,960,Corbin City,"672,175","397,218",0,0,"71,890","56,035","11,067","101,790",0,638000,"-34,175",-5.08%
2020,Atlantic,1300,Egg Harbor City,"5,566,281","5,317,507",0,0,"123,396","267,087","224,238",0,0,5932228,"365,947",6.57%
2020,Atlantic,1310,Egg Harbor Twp,"43,930,259","38,895,174",0,0,"3,273,116","4,443,028","1,547,671",0,0,48158989,"4,228,730",9.63%
2020,Atlantic,1410,Estell Manor City,"2,162,260","1,531,195",0,"205,367",0,"167,247","34,171",0,0,1937980,"-224,280",-10.37%
2020,Atlantic,1540,Folsom Boro,"5,869,132","4,269,569",0,"1,204,632","181,520","362,025","79,030",0,0,6096776,"227,644",3.88%
2020,Atlantic,1690,Galloway Twp,"24,609,074","21,535,033",0,0,"1,088,704","1,996,732","739,882",0,0,25360351,"751,277",3.05%
2020,Atlantic,1790,Greater Egg Harbor Reg,"32,137,553","28,366,446",0,0,"1,318,244","2,214,280","672,859",0,0,32571829,"434,276",1.35%
2020,Atlantic,1940,Hamilton Twp,"24,337,190","20,175,776",0,0,"1,774,245","2,090,080","818,537",0,0,24858638,"521,448",2.14%
2020,Atlantic,1960,Hammonton Town,"19,310,631","14,652,350",0,"2,379,173","757,886","2,297,445","773,246",0,0,20860100,"1,549,469",8.02%
2020,Atlantic,2680,Linwood City,"1,505,899","128,197",0,0,"111,744","607,272","64,088","511,542",0,1422843,"-83,056",-5.52%
2020,Atlantic,2780,Longport,"89,130",0,0,0,"20,694","44,828","4,178","17,430",0,87130,"-2,000",-2.24%
2020,Atlantic,2910,Mainland Regional,"7,900,944","6,194,693",0,"458,410","301,868","901,973","43,566",0,0,7900510,-434,-0.01%
2020,Atlantic,3020,Margate City,"535,848",0,0,0,"136,684","314,672","43,782","36,140",0,531278,"-4,570",-0.85%
2020,Atlantic,3480,Mullica Twp,"5,481,097","4,101,766",0,0,"236,446","442,376","165,721","534,788",0,5481097,0,0.00%
2020,Atlantic,3720,Northfield City,"4,075,335","3,350,671",0,0,"59,085","666,852","114,731",0,0,4191339,"116,004",2.85%
2020,Atlantic,4180,Pleasantville City,"64,048,801","47,348,724",0,0,"699,058","2,182,722","1,597,790","12,803,286",0,64631580,"582,779",0.91%
2020,Atlantic,4240,Port Republic City,"1,072,547","259,429",0,"230,472","47,977","85,872","12,745","423,408",0,1059903,"-12,644",-1.18%
2020,Atlantic,4800,Somers Point City,"5,816,797","4,964,991",0,0,"142,184","568,696","114,624",0,0,5790495,"-26,302",-0.45%
2020,Atlantic,5350,Ventnor City,"2,027,758",0,0,0,"417,427","701,056","344,749","480,568",0,1943800,"-83,958",-4.14%
2020,Atlantic,5760,Weymouth Twp,"2,245,862","1,628,984",0,0,"170,118","165,399","58,408",0,0,2022909,"-222,953",-9.93%
2020,Bergen,40,Allendale Boro,"509,385",0,0,0,"22,726","469,043","71,109",0,0,562878,"53,493",10.50%
2020,Bergen,80,Alpine Boro,"172,110",0,0,0,"74,112","92,142","15,978",0,0,182232,"10,122",5.88%
2020,Bergen,290,Bergen County Vocational,"5,695,547",0,0,0,0,"1,618,948","213,795","3,452,071","410,733",5695547,0,0.00%
2020,Bergen,300,Bergenfield Boro,"11,935,421","9,697,470",0,"245,556","578,477","2,104,440","374,729",0,0,13000672,"1,065,251",8.93%
2020,Bergen,440,Bogota Boro,"6,099,706","5,353,466",0,0,"203,338","764,979","328,102",0,0,6649885,"550,179",9.02%
2020,Bergen,740,Carlstadt Boro,"328,095",0,0,0,"45,263","265,555","56,138",0,0,366956,"38,861",11.84%
2020,Bergen,745,Carlstadt-East Rutherford,"428,678",0,0,0,"92,141","356,516","18,800",0,0,467457,"38,779",9.05%
2020,Bergen,890,Cliffside Park Boro,"4,941,897","2,178,852",0,0,"323,598","1,923,091","926,208",0,0,5351749,"409,852",8.29%
2020,Bergen,930,Closter Boro,"693,682",0,0,0,"93,632","592,766","91,347",0,0,777745,"84,063",12.12%
2020,Bergen,990,Cresskill Boro,"1,047,524",0,0,0,"82,508","938,195","143,116",0,0,1163819,"116,295",11.10%
2020,Bergen,1070,Demarest Boro,"392,632",0,0,0,"49,777","353,998","31,678",0,0,435453,"42,821",10.91%
2020,Bergen,1130,Dumont Boro,"8,874,308","6,782,710",0,0,"222,500","1,819,573","139,307",0,0,8964090,"89,782",1.01%
2020,Bergen,1230,East Rutherford Boro,"698,753",0,0,0,"133,577","478,694","129,901",0,0,742172,"43,419",6.21%
2020,Bergen,1270,Edgewater Boro,"1,199,041",0,0,0,"618,022","683,420","45,596",0,0,1347038,"147,997",12.34%
2020,Bergen,1345,Elmwood Park,"8,475,495","6,267,216",0,0,"547,120","2,318,383","760,674",0,0,9893393,"1,417,898",16.73%
2020,Bergen,1360,Emerson Boro,"678,133",0,0,0,"134,241","540,178","81,391",0,0,755810,"77,677",11.45%
2020,Bergen,1370,Englewood City,"9,641,682",0,0,"4,355,820","830,412","2,229,543","1,201,342","535,621",0,9152738,"-488,944",-5.07%
2020,Bergen,1380,Englewood Cliffs Boro,"414,002",0,0,0,"141,069","304,738","8,968",0,0,454775,"40,773",9.85%
2020,Bergen,1450,Fair Lawn Boro,"6,351,196","1,443,834",0,0,"840,898","4,363,870","464,041",0,0,7112643,"761,447",11.99%
2020,Bergen,1470,Fairview Boro,"12,625,278","11,966,907",0,0,"159,545","1,748,955","721,266",0,0,14596673,"1,971,395",15.61%
2020,Bergen,1550,Fort Lee Boro,"2,707,419",0,0,0,"685,744","2,240,880","105,243",0,0,3031867,"324,448",11.98%
2020,Bergen,1580,Franklin Lakes Boro,"909,154",0,0,0,"230,578","716,089","20,872",0,0,967539,"58,385",6.42%
2020,Bergen,1700,Garfield City,"58,866,841","52,943,266",0,0,"709,240","4,299,757","1,872,059",0,0,59824322,"957,481",1.63%
2020,Bergen,1760,Glen Rock Boro,"1,484,124",0,0,0,"131,824","1,320,084","201,595",0,0,1653503,"169,379",11.41%
2020,Bergen,1860,Hackensack City,"19,221,282","14,505,187",0,0,"682,382","4,787,838","2,121,557",0,0,22096964,"2,875,682",14.96%
2020,Bergen,2050,Harrington Park Boro,"381,842","2,317",0,0,"75,414","319,628","24,352",0,0,421711,"39,869",10.44%
2020,Bergen,2080,Hasbrouck Heights Boro,"2,500,974","798,393",0,0,"143,130","1,565,896","185,508",0,0,2692927,"191,953",7.68%
2020,Bergen,2090,Haworth Boro,"263,228",0,0,0,"30,722","221,055","33,319","2,172",0,287268,"24,040",9.13%
2020,Bergen,2180,Hillsdale Boro,"936,514","11,741",0,0,"126,575","787,755","55,927",0,0,981998,"45,484",4.86%
2020,Bergen,2200,Ho Ho Kus Boro,"624,294",0,0,0,"203,210","465,746","14,624",0,0,683580,"59,286",9.50%
2020,Bergen,2620,Leonia Boro,"3,548,136","2,569,576",0,0,0,"896,489","36,798",0,0,3502863,"-45,273",-1.28%
2020,Bergen,2710,Little Ferry Boro,"4,290,175","2,901,349",0,0,"299,736","1,040,076","319,475",0,0,4560636,"270,461",6.30%
2020,Bergen,2740,Lodi Borough,"18,363,742","15,548,944",0,0,"674,487","2,835,516","1,028,863",0,0,20087810,"1,724,068",9.39%
2020,Bergen,2860,Lyndhurst Twp,"2,203,548","404,524",0,0,"239,630","1,609,062","75,106",0,0,2328322,"124,774",5.66%
2020,Bergen,2900,Mahwah Twp,"2,685,621",0,0,0,"636,428","2,181,669","59,339",0,0,2877436,"191,815",7.14%
2020,Bergen,3060,Maywood Boro,"1,260,849","324,912",0,0,"153,364","796,148","23,035",0,0,1297459,"36,610",2.90%
2020,Bergen,3170,Midland Park Boro,"742,564","33,981",0,0,"107,033","583,528","58,146",0,0,782688,"40,124",5.40%
2020,Bergen,3330,Montvale Boro,"665,799",0,0,0,"192,645","527,246","18,499",0,0,738390,"72,591",10.90%
2020,Bergen,3350,Moonachie Boro,"459,351",0,0,0,"107,072","247,278","112,578","16,590",0,483518,"24,167",5.26%
2020,Bergen,3550,New Milford Boro,"2,186,847","587,981",0,0,"430,582","1,294,330","73,366",0,0,2386259,"199,412",9.12%
2020,Bergen,3600,North Arlington Boro,"3,276,493","1,772,290",0,0,"184,243","1,574,641","224,941",0,0,3756115,"479,622",14.64%
2020,Bergen,3700,Northern Highlands Reg,"787,304",0,0,0,"272,216","527,552","77,671",0,0,877439,"90,135",11.45%
2020,Bergen,3710,Northern Valley Regional,"1,459,014",0,0,0,"307,800","1,263,555","42,643",0,0,1613998,"154,984",10.62%
2020,Bergen,3730,Northvale Boro,"297,378",0,0,0,"24,930","268,105","40,383",0,0,333418,"36,040",12.12%
2020,Bergen,3740,Norwood Boro,"464,422",0,0,0,"52,474","401,962","41,806",0,0,496242,"31,820",6.85%
2020,Bergen,3760,Oakland Boro,"870,157",0,0,0,"215,169","705,476","51,232",0,0,971877,"101,720",11.69%
2020,Bergen,3850,Old Tappan Boro,"442,963",0,0,0,"77,746","381,945","20,128",0,0,479819,"36,856",8.32%
2020,Bergen,3870,Oradell Boro,"425,212",0,0,0,"29,595","388,913","58,565",0,0,477073,"51,861",12.20%
2020,Bergen,3910,Palisades Park,"1,995,923","711,969",0,0,"101,852","995,844","212,501","10,133",0,2032299,"36,376",1.82%
2020,Bergen,3930,Paramus Boro,"2,598,206",0,0,0,"727,057","2,089,127","69,352",0,0,2885536,"287,330",11.06%
2020,Bergen,3940,Park Ridge Boro,"706,495",0,0,0,"99,501","629,762","59,165",0,0,788428,"81,933",11.60%
2020,Bergen,3960,Pascack Valley Regional,"1,405,843",0,0,0,"363,359","1,165,749","35,828",0,0,1564936,"159,093",11.32%
2020,Bergen,4300,Ramapo-Indian Hill Reg,"1,824,745",0,0,0,"698,935","1,280,142","40,228",0,0,2019305,"194,560",10.66%
2020,Bergen,4310,Ramsey Boro,"1,600,162",0,0,0,"309,420","1,368,152","96,206",0,0,1773778,"173,616",10.85%
2020,Bergen,4370,Ridgefield Boro,"2,601,290","1,530,497",0,0,0,"1,036,775","96,410",0,0,2663682,"62,392",2.40%
