COUNTY,DISTRICT_NAME,DIST_CODE,K-12_2012-2013_TOTAL_AID,EQUALIZATION_AID,EDUCATIONAL_ADEQUACY_AID,CHOICE_AID,TRANSPORTATION_AID,SPECIAL_EDUCATION_CATEGORICAL_AID,SECURITY_AID,ADJUSTMENT_AID,UNDER_ADEQUACY_AID,SUPPLEMENTAL_ENROLLMENT_GROWTH_AID,ADDITIONAL_ADJUSTMENT_AID,K-12_2013-2014_TOTAL_AID,ONE_YEAR_AID_CHANGE,%_AID_CHANGE
ATLANTIC,ABSECON CITY,10,"1,421,551","810,011",0,0,"59,759","507,050","44,731",0,"77,534",0,0,"1,499,085","77,534",5.5
ATLANTIC,ATLANTIC CITY,110,"15,187,757","2,333,506",0,0,"1,236,828","3,607,799","2,474,835","7,791,462",0,0,0,"17,444,430","2,256,673",14.9
ATLANTIC,ATLANTIC CO VOCATIONAL,120,"3,631,706","3,120,415",0,0,0,"448,112","63,177",0,0,0,2,"3,631,706",0,0
ATLANTIC,BRIGANTINE CITY,570,"2,256,434",0,0,0,"498,223","520,704","195,858","1,059,602",0,0,0,"2,274,387","17,953",0.8
ATLANTIC,BUENA REGIONAL,590,"19,037,422","17,468,408",0,0,"207,040","1,134,901","556,813",0,0,0,0,"19,367,162","329,740",1.7
ATLANTIC,CORBIN CITY,960,"683,496","396,300",0,0,"71,774","40,144","10,631","178,412",0,0,0,"697,261","13,765",2
ATLANTIC,EGG HARBOR CITY,1300,"5,079,882","4,869,266",0,0,"22,670","262,402","37,224",0,0,0,0,"5,191,562","111,680",2.2
ATLANTIC,EGG HARBOR TWP,1310,"39,807,390","33,108,509",0,0,"775,825","4,392,582","1,530,474",0,"70,558",0,0,"39,877,948","70,558",0.2
ATLANTIC,ESTELL MANOR CITY,1410,"2,007,358","1,604,758",0,"203,090","45,514","167,247","36,675","19,046",0,0,0,"2,076,330","68,972",3.4
ATLANTIC,FOLSOM BORO,1540,"5,387,456","4,162,988",0,"965,006","47,531","275,873","78,228",0,"30,122",0,0,"5,559,748","172,292",3.2
ATLANTIC,GALLOWAY TWP,1690,"23,271,052","20,530,313",0,0,"339,014","1,973,337","730,204",0,0,0,0,"23,572,868","301,816",1.3
ATLANTIC,GREATER EGG HARBOR REG,1790,"30,670,338","27,912,902",0,0,"387,362","2,194,969","664,767",0,0,0,0,"31,160,000","489,662",1.6
ATLANTIC,HAMILTON TWP,1940,"22,546,690","19,321,187",0,0,"728,399","1,746,258","764,626",0,"135,379",0,0,"22,695,849","149,159",0.7
ATLANTIC,HAMMONTON TOWN,1960,"13,900,319","11,214,703",0,"1,630,286","132,393","1,396,079","129,159",0,"500,000",0,0,"15,002,620","1,102,301",7.9
ATLANTIC,LINWOOD CITY,2680,"1,528,336","128,197",0,0,"102,504","487,951","64,088","773,175",0,0,0,"1,555,915","27,579",1.8
ATLANTIC,LONGPORT,2780,"90,581",0,0,0,"20,603","33,477","4,191","32,446",0,0,0,"90,717",136,0.2
ATLANTIC,MAINLAND REGIONAL,2910,"7,191,084","6,193,426",0,"357,624","72,655","887,145","37,858",0,0,0,0,"7,548,708","357,624",5
ATLANTIC,MARGATE CITY,3020,"532,979",0,0,0,"134,194","312,910","43,753","45,463",0,0,0,"536,320","3,341",0.6
ATLANTIC,MULLICA TWP,3480,"5,342,293","4,048,982",0,0,"231,267","361,974","145,886","554,184","11,546",0,0,"5,353,839","11,546",0.2
ATLANTIC,NORTHFIELD CITY,3720,"3,854,565","3,224,630",0,0,"12,735","592,343","24,856",0,"11,295",0,0,"3,865,859","11,294",0.3
ATLANTIC,PLEASANTVILLE CITY,4180,"63,970,810","46,591,510",0,0,"593,318","2,156,890","1,332,096","14,090,235",0,0,0,"64,764,049","793,239",1.2
ATLANTIC,PORT REPUBLIC CITY,4240,"960,357","239,382",0,"119,376","47,385","83,397","12,595","495,546",0,0,0,"997,681","37,324",3.9
ATLANTIC,SOMERS POINT CITY,4800,"5,587,740","4,959,725",0,0,"16,457","561,975","60,375",0,"12,194",0,0,"5,610,726","22,986",0.4
ATLANTIC,VENTNOR CITY,5350,"2,067,584",0,0,0,"328,572","693,629","344,762","700,622",0,0,0,"2,067,585",1,0
ATLANTIC,WEYMOUTH TWP,5760,"2,366,620","1,748,871",0,0,"157,135","165,399","51,597","241,451",0,0,"2,167","2,366,620",0,0
BERGEN,ALLENDALE BORO,40,"318,578",0,0,0,"4,330","301,541","12,706",0,0,0,1,"318,578",0,0
BERGEN,ALPINE BORO,80,"138,985",0,0,0,"48,806","74,257","15,923",0,0,0,0,"138,986",1,0
BERGEN,BERGEN COUNTY VOCATIONAL,290,"5,608,133",0,0,0,0,"1,243,499","170,378","4,194,257",0,0,0,"5,608,134",1,0
BERGEN,BERGENFIELD BORO,300,"10,473,806","8,165,600",0,"163,137","80,089","2,072,512","155,605",0,0,0,0,"10,636,943","163,137",1.6
BERGEN,BOGOTA BORO,440,"5,584,459","4,656,216",0,"11,146","47,315","757,950","64,794",0,0,0,"47,038","5,584,459",0,0
BERGEN,CARLSTADT BORO,740,"240,026",0,0,0,"10,530","207,971","21,525",0,0,0,0,"240,026",0,0
BERGEN,CARLSTADT-EAST RUTHERFORD,745,"346,321",0,0,0,"28,233","305,342","16,537",0,0,0,0,"350,112","3,791",1.1
BERGEN,CLIFFSIDE PARK BORO,890,"3,286,450","1,544,866",0,0,"32,152","1,350,696","358,736",0,"268,344",0,0,"3,554,794","268,344",8.2
BERGEN,CLOSTER BORO,930,"413,323",0,0,0,"15,420","381,600","16,303",0,0,0,0,"413,323",0,0
BERGEN,CRESSKILL BORO,990,"710,279",0,0,0,"16,859","667,983","25,438",0,0,0,0,"710,280",1,0
BERGEN,DEMAREST BORO,1070,"310,114",0,0,0,"8,454","291,599","10,062",0,0,0,0,"310,115",1,0
BERGEN,DUMONT BORO,1130,"8,570,668","6,765,905",0,0,"42,792","1,714,909","47,063",0,0,0,0,"8,570,669",1,0
BERGEN,EAST RUTHERFORD BORO,1230,"581,724",0,0,0,"40,797","421,679","121,613",0,0,0,0,"584,089","2,365",0.4
BERGEN,EDGEWATER BORO,1270,"896,489",0,0,0,"113,998","487,053","40,295",0,"21,476","255,143",0,"917,965","21,476",2.4
BERGEN,ELMWOOD PARK,1345,"2,506,945","687,826",0,0,"118,200","1,525,984","174,935",0,"500,000",0,0,"3,006,945","500,000",19.9
BERGEN,EMERSON BORO,1360,"470,781",0,0,0,"29,805","421,733","19,244",0,0,0,0,"470,782",1,0
BERGEN,ENGLEWOOD CITY,1370,"9,410,122",0,0,"5,003,838","685,463","1,782,777","971,642","1,257,860",0,0,0,"9,701,580","291,458",3.1
BERGEN,ENGLEWOOD CLIFFS BORO,1380,"282,411",0,0,0,"37,453","237,308","7,650",0,0,0,0,"282,411",0,0
BERGEN,FAIR LAWN BORO,1450,"3,269,797","147,343",0,0,"198,378","2,837,781","86,295",0,0,0,0,"3,269,797",0,0
BERGEN,FAIRVIEW BORO,1470,"6,930,123","5,842,254",0,0,"31,122","947,543","109,205",0,"428,905",0,0,"7,359,029","428,906",6.2
BERGEN,FORT LEE BORO,1550,"1,946,449",0,0,0,"79,344","1,797,805","91,765",0,0,0,0,"1,968,914","22,465",1.2
BERGEN,FRANKLIN LAKES BORO,1580,"712,314",0,0,0,"54,533","625,156","18,589",0,0,0,"14,036","712,314",0,0
BERGEN,GARFIELD CITY,1700,"55,077,996","50,705,135",0,0,"715,197","2,849,228","1,540,806",0,0,0,0,"55,810,366","732,370",1.3
BERGEN,GLEN ROCK BORO,1760,"1,034,989",0,0,0,"23,922","976,359","34,708",0,0,0,0,"1,034,989",0,0
BERGEN,HACKENSACK CITY,1860,"12,713,580","9,445,263",0,0,"92,175","2,812,756","363,386",0,0,0,0,"12,713,580",0,0
BERGEN,HARRINGTON PARK BORO,2050,"275,739","2,401",0,0,"4,026","259,783","9,528",0,0,0,1,"275,739",0,0
BERGEN,HASBROUCK HEIGHTS BORO,2080,"1,089,910","16,038",0,0,"35,899","997,404","40,567",0,"14,450",0,1,"1,104,359","14,449",1.3
BERGEN,HAWORTH BORO,2090,"201,547",0,0,0,"6,531","186,749","6,257",0,0,0,"2,010","201,547",0,0
BERGEN,HILLSDALE BORO,2180,"802,759","12,167",0,0,"31,235","715,195","20,423",0,0,0,"23,739","802,759",0,0
BERGEN,HO HO KUS BORO,2200,"448,291",0,0,0,"46,443","374,865","12,726",0,0,0,"14,257","448,291",0,0
BERGEN,LEONIA BORO,2620,"3,537,623","2,619,846",0,0,"8,871","885,744","23,162",0,0,0,0,"3,537,623",0,0
BERGEN,LITTLE FERRY BORO,2710,"1,438,040","539,377",0,0,"72,867","783,657","42,140",0,0,0,0,"1,438,041",1,0
BERGEN,LODI BOROUGH,2740,"14,222,138","11,767,636",0,0,"133,818","2,096,287","224,397",0,"76,849",0,0,"14,298,987","76,849",0.5
BERGEN,LYNDHURST TWP,2860,"1,964,780","419,196",0,0,"53,694","1,426,063","65,826",0,0,0,1,"1,964,780",0,0
BERGEN,MAHWAH TWP,2900,"2,246,181",0,0,0,"253,921","1,940,400","51,859",0,0,0,1,"2,246,181",0,0
BERGEN,MAYWOOD BORO,3060,"1,143,660","336,696",0,0,"48,311","739,286","19,367",0,0,0,0,"1,143,660",0,0
